entity_id,entity_label,site,alarms_7d,alarms_30d,days_to_next,recommendation,risk_score,risk_tier,alarm_intensity_pct,trend_pct,calendar_gap_pct,eh_history_pct,risk_explanation
54960238,[NAME] on kylmä [NAME] M100 modulissa. Nyt jopa vielä kylmem,Lentokentänkatu 11,66,66,,SEND TECHNICIAN NOW,65,medium,100,100,0,0,Risk 65/100 (medium): |   • Alarm intensity (40% weight): 100% |   • Trend vs 30d baseline (25%): 100% |   • Calendar gap — alarms but far inspection (20%): 0% |   • EH-työ → failure history (15%): 0%
54716854,FIMX 10487119: Lähettämön toimiston ilmastointilaite vuotaa ,Venttiilitehdas,6,6,,SEND TECHNICIAN NOW,65,medium,100,100,0,0,Risk 65/100 (medium): |   • Alarm intensity (40% weight): 100% |   • Trend vs 30d baseline (25%): 100% |   • Calendar gap — alarms but far inspection (20%): 0% |   • EH-työ → failure history (15%): 0%
54882174,Lähettämön sisätila. Lähettämön ilmalämpöpumpun vedenpoistol,Venttiilitehdas,13,13,,SEND TECHNICIAN NOW,65,medium,100,100,0,0,Risk 65/100 (medium): |   • Alarm intensity (40% weight): 100% |   • Trend vs 30d baseline (25%): 100% |   • Calendar gap — alarms but far inspection (20%): 0% |   • EH-työ → failure history (15%): 0%
PM-553728,"Määräaikaishuollot, SÄ (Lentokentänkatu 11)",Lentokentänkatu 11,0,4,178,AUDIT PM PLAN,15,low,0,0,0,100,Risk 15/100 (low): |   • Alarm intensity (40% weight): 0% |   • Trend vs 30d baseline (25%): 0% |   • Calendar gap — alarms but far inspection (20%): 0% |   • EH-työ → failure history (15%): 100%
PM-553720,"Määräaikaishuollot, SÄ (Lentokentänkatu 11)",Lentokentänkatu 11,0,4,298,AUDIT PM PLAN,15,low,0,0,0,100,Risk 15/100 (low): |   • Alarm intensity (40% weight): 0% |   • Trend vs 30d baseline (25%): 0% |   • Calendar gap — alarms but far inspection (20%): 0% |   • EH-työ → failure history (15%): 100%
PM-553722,"Määräaikaishuollot, SÄ (Lentokentänkatu 11)",Lentokentänkatu 11,0,4,21,AUDIT PM PLAN,15,low,0,0,0,100,Risk 15/100 (low): |   • Alarm intensity (40% weight): 0% |   • Trend vs 30d baseline (25%): 0% |   • Calendar gap — alarms but far inspection (20%): 0% |   • EH-työ → failure history (15%): 100%
PM-553723,"Määräaikaishuollot, SÄ (Lentokentänkatu 11)",Lentokentänkatu 11,0,4,89,AUDIT PM PLAN,15,low,0,0,0,100,Risk 15/100 (low): |   • Alarm intensity (40% weight): 0% |   • Trend vs 30d baseline (25%): 0% |   • Calendar gap — alarms but far inspection (20%): 0% |   • EH-työ → failure history (15%): 100%
PM-553724,"Määräaikaishuollot, SÄ (Lentokentänkatu 11)",Lentokentänkatu 11,0,4,60,AUDIT PM PLAN,15,low,0,0,0,100,Risk 15/100 (low): |   • Alarm intensity (40% weight): 0% |   • Trend vs 30d baseline (25%): 0% |   • Calendar gap — alarms but far inspection (20%): 0% |   • EH-työ → failure history (15%): 100%
PM-553725,"Määräaikaishuollot, SÄ (Lentokentänkatu 11)",Lentokentänkatu 11,0,4,89,AUDIT PM PLAN,15,low,0,0,0,100,Risk 15/100 (low): |   • Alarm intensity (40% weight): 0% |   • Trend vs 30d baseline (25%): 0% |   • Calendar gap — alarms but far inspection (20%): 0% |   • EH-työ → failure history (15%): 100%
PM-553726,"Määräaikaishuollot, SÄ (Lentokentänkatu 11)",Lentokentänkatu 11,0,4,133,AUDIT PM PLAN,15,low,0,0,0,100,Risk 15/100 (low): |   • Alarm intensity (40% weight): 0% |   • Trend vs 30d baseline (25%): 0% |   • Calendar gap — alarms but far inspection (20%): 0% |   • EH-työ → failure history (15%): 100%
